"Farm Size (Hectares)","Beef cows and heifers (in calf) 2 years and over","Beef cows and heifers (in calf) 1-2 years old","Beef cows and heifers (not in calf) 2 years and over","Beef cows and heifers (not in calf) 1-2 years old","Beef heifers and calves under 1 year old","Steers 2 years old and over","Steers 1-2 years old","Steers calves under 1 year","Beef non-breeding bulls 2 years and over","Beef non-breeding bulls 1-2 years old","Beef non-breeding bulls under 1 year","Beef breeding bulls (all ages)","Total beef cattle"
,,,,,,,,,,,,,
"Under 5","4,712","1,959","2,776","5,334","7,475","3,234","4,113","4,407",241,"1,581","2,498",873,"39,203"
9-May,"4,256","1,855","2,797","5,793","9,063","2,161","5,174","5,921",219,"1,203","2,979",692,"42,113"
14-Oct,"4,286","1,612","2,012","4,887","6,544","1,837","5,535","4,417",294,"1,514","2,948",927,"36,813"
"15 - 19","3,937","1,712","1,995","4,190","6,628","2,407","5,145","4,869",307,"1,453","2,593",685,"35,921"
"20 - 24","5,575","1,884","2,278","4,834","7,414","3,212","5,479","5,383",824,"2,292","3,944","1,143","44,262"
"25 - 29","4,254","1,344","1,570","3,929","4,770","2,633","3,939","3,182",202,"1,087","2,756","1,333","30,999"
"30 - 34","5,360","1,487","1,297","4,460","5,227","1,872","4,922","3,875",527,"1,435","3,239",707,"34,408"
"35 - 39","3,965","1,432","1,139","2,609","4,770","2,061","3,753","2,912",258,"1,226","2,140",418,"26,683"
"40 - 49","9,621","2,933","2,996","7,245","11,456","4,958","8,611","7,845","1,302","3,742","9,490",985,"71,184"
"50 - 59","7,534","2,405","2,465","3,674","7,063","3,472","5,506","5,307","1,482","3,686","5,037",807,"48,438"
"60 - 69","7,656","1,756","2,375","3,262","5,917","3,650","6,224","5,482",693,"3,363","4,882","1,237","46,497"
"70 - 79","6,491","1,676","1,697","4,315","5,090","3,668","5,304","4,453","1,180","3,289","4,433",898,"42,494"
"80 - 89","8,133","1,551","2,024","4,956","7,023","3,680","6,549","5,141","1,731","3,346","4,746","1,473","50,353"
"90 - 99","5,454","1,496","1,815","3,729","4,652","3,841","4,797","2,892",613,"2,680","4,506",848,"37,323"
"100 - 149","29,299","7,311","8,658","20,152","27,317","15,401","25,197","24,866","8,907","21,162","23,751","4,535","216,556"
"150 - 199","29,773","5,368","6,451","20,078","26,292","13,982","26,781","23,504","8,500","26,050","27,034","3,914","217,727"
"200 - 299","74,511","12,576","12,544","35,257","53,904","23,407","45,510","42,358","18,324","58,458","71,450","9,544","457,843"
"300 - 399","80,210","11,992","11,246","29,300","44,526","21,291","37,213","33,898","16,863","49,655","55,182","6,643","398,019"
"400 - 599","141,450","18,643","13,657","43,072","71,001","46,498","53,943","50,834","26,873","65,081","66,147","9,139","606,338"
"600 - 799","106,016","11,681","9,705","26,086","44,704","16,776","30,831","31,624","17,656","38,553","42,072","5,853","381,557"
"800 - 999","79,146","8,535","4,613","17,078","32,181","9,115","21,845","22,888","10,999","25,920","29,959","3,927","266,206"
"1000 - 1199","60,950","7,762","5,193","13,639","25,477","9,976","18,086","18,393","7,221","22,046","17,747","3,352","209,842"
"1200 - 1999","146,346","18,150","12,514","33,366","57,508","18,306","32,369","37,909","11,128","26,670","31,610","7,162","433,038"
"2000 and over","272,698","30,437","17,906","58,019","98,994","28,742","60,060","74,474","7,386","25,213","31,685","11,850","717,464"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
